# path	while	readUnchecked	charAt
lib/stratiform/src/core/stratiform.Tel.scala	113	68	17
lib/stratiform/src/core/stratiform.Tel2.scala	2	4	0
lib/stratiform/src/core/stratiform.Telp.scala	4	5	2
lib/stratiform/src/core/stratiform.Tels.scala	12	16	2
lib/stratiform/src/core/stratiform.internal.scala	6	0	2
lib/superlunary/src/core/superlunary_core.scala	1	0	0
lib/surveillance/src/core/surveillance.PollingWatcher.scala	1	0	0
lib/symbolism/src/core/symbolism.Comparable.scala	1	0	0
lib/symbolism/src/core/symbolism.Multiplicable.scala	1	0	0
lib/tasseomancy/src/core/tasseomancy.Framing.scala	1	0	0
lib/tasseomancy/src/core/tasseomancy.Histogram.scala	2	0	0
lib/tasseomancy/src/core/tasseomancy.Scale.scala	4	0	0
lib/telekinesis/src/core/telekinesis.Http.scala	10	0	0
lib/tessellate/src/core/tessellate.Flex.scala	11	0	0
lib/tessellate/src/core/tessellate.Flow.scala	9	0	9
lib/turbulence/src/core/turbulence.Aggregable.scala	2	0	0
lib/turbulence/src/core/turbulence.Confluence.scala	2	0	0
lib/turbulence/src/core/turbulence.Divergence.scala	3	0	0
lib/turbulence/src/core/turbulence.LineSeparation.scala	7	0	0
lib/turbulence/src/core/turbulence.Relay.scala	1	0	0
lib/turbulence/src/core/turbulence.Sink.scala	1	0	0
lib/turbulence/src/core/turbulence.Writable.scala	1	0	0
lib/turbulence/src/core/turbulence_core.scala	0	1	0
lib/ultimatum/src/core/ultimatum.FlowExtent.scala	1	0	0
lib/ultimatum/src/core/ultimatum.Form.scala	1	0	0
lib/ultimatum/src/core/ultimatum.GridSurface.scala	7	0	0
lib/ultimatum/src/core/ultimatum.InlineRoot.scala	7	0	0
lib/ultimatum/src/core/ultimatum.ScreenRoot.scala	1	0	0
lib/ultimatum/src/core/ultimatum.ScrollFixture.scala	1	0	0
lib/ultimatum/src/core/ultimatum_core.scala	2	0	0
lib/ulysses/src/core/ulysses.Bibliography.scala	1	0	0
lib/ulysses/src/core/ulysses.BloomFilter.scala	1	0	0
lib/ulysses/src/core/ulysses.Palimpsest.scala	7	0	0
lib/vexillology/src/core/vexillology.internal.scala	1	0	0
lib/vivisection/src/core/vivisection.Jdwp.scala	8	6	1
lib/vivisection/src/core/vivisection.Variable.scala	0	0	2
lib/xylophone/src/core/xylophone.XPath.scala	1	0	2
lib/xylophone/src/core/xylophone.XPathEngine.scala	5	2	4
lib/xylophone/src/core/xylophone.XPathReader.scala	15	0	25
lib/xylophone/src/core/xylophone.Xml.scala	53	47	14
lib/xylophone/src/core/xylophone.internal.scala	22	18	2
lib/yossarian/src/core/yossarian.Pty.scala	14	2	0
lib/yossarian/src/core/yossarian.internal.scala	3	0	0
lib/ypsiloid/src/core/ypsiloid.Yaml.scala	129	19	18
lib/ypsiloid/src/core/ypsiloid.YamlPath.scala	1	0	4
lib/ypsiloid/src/core/ypsiloid.internal.scala	12	13	0
lib/ypsiloid/src/core/ypsiloid_core.scala	5	0	3
lib/zephyrine/src/core/zephyrine.Addressable.scala	8	7	1
lib/zephyrine/src/core/zephyrine.Conduit.scala	2	0	0
lib/zephyrine/src/core/zephyrine.Cursor.scala	6	0	0
lib/zephyrine/src/core/zephyrine.Duct.scala	2	0	0
lib/zephyrine/src/core/zephyrine.Ductile.scala	3	0	0
lib/zephyrine/src/core/zephyrine.Handoff.scala	5	0	0
lib/zephyrine/src/core/zephyrine.Intake.scala	2	0	0
lib/zephyrine/src/core/zephyrine.Producer.scala	1	0	0
lib/zephyrine/src/core/zephyrine.Region.scala	3	0	0
lib/zephyrine/src/core/zephyrine.Slate.scala	1	0	0
lib/zephyrine/src/core/zephyrine.internal.scala	0	0	1
lib/zephyrine/src/core/zephyrine_core.scala	4	0	0
lib/zeppelin/src/core/zeppelin.Zip.scala	4	0	0
lib/zeppelin/src/core/zeppelin.Zipfile.scala	6	0	0
